Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Романчук,Єлисавета,Романівна,female,1961-03-21,Офіс-менеджер,хутір Нікополь,"сквер Чернігівська, буд. 27, Прилуки, 71427",027 592 99 17,korlyk@example.net
Кибкало,Аніта,Олександрівна,female,2006-08-27,Системний адміністратор,хутір Зіньків,"набережна Училищна, буд. 39 кв. 40, Моршин, 55855",044 946-22-88,vermenychirena@example.com
Байдак,Борис,Тарасович,male,1954-01-12,Копірайтер,селище Кобеляки,"набережна Ковалевського, буд. 70 кв. 2, Синельникове, 04205",+380 63 392 44 44,jhavrylenko@example.net
Кириленко,Аврелій,Іванович,male,1964-02-06,Кадровий менеджер,хутір Бровари,"провулок Педагогічна, буд. 860 кв. 151, Дніпро , 19657",036 930 32 27,iaroslava51@example.net
Черненко,Олесь,Сергійович,male,1963-02-19,Фінансовий аналітик,місто Апостолове,"вулиця Херсонський сквер, буд. 79 кв. 953, Гайворон, 08701",406 77 62,zynoviipylypenko@example.net
Чередник,Олександр,Зеновійович,male,1985-12-22,Аналітик даних,хутір Нововолинськ,"набережна Алмазна, буд. 65, Яготин, 26055",+380 91 046 01 37,zubkomykolai@example.net
Гузій,Валерій,Тимофійович,male,1979-04-25,Програміст,село Немирів,"провулок Ключовий 2-й, буд. 65, Винники, 27996",079 922 25 54,ysirko@example.net
Гунько,Ганна,Петрівна,female,1985-10-02,Кадровий менеджер,селище Вільногірськ,"сквер Мукачівський, буд. 820, Семенівка, 70135",484-08-90,havryloderhach@example.com
Забарний,Анжела,Сергіївна,female,1990-04-03,Аналітик даних,селище Рогатин,"провулок Училищна, буд. 0, Чортків, 11664",+380 52 417-50-56,mykolaisych@example.net
Архимович,Арсен,Зеновійович,male,1987-06-19,Аудитор,хутір Рені,"провулок Стражеска Миколи, буд. 2, Шаргород, 27963",+380 (89) 471-92-92,symonpoltavets@example.net
Фартушняк,Володимир,Данилович,male,1990-11-17,PR-менеджер,селище Дунаївці,"провулок Деревообробний 1-й, буд. 69 кв. 779, Новий Буг, 20068",+380 53 975-73-70,sofiia13@example.net
Архимович,Тетяна,Петрівна,female,1995-01-31,HR-менеджер,село Світловодськ,"парк Нафтовиків 1-й, буд. 63, Нова Одеса, 26900",+380 (64) 135-77-98,yabrahamovskyi@example.net
Шиян,Омелян,Сергійович,male,1976-12-24,Менеджер з продукту,село Лисичанськ,"шосе Амурський 4-й, буд. 11, Сімферополь, 67199",+380 16 436-46-23,iereskoihor@example.org
Яценюк,Юстина,Марківна,female,1998-04-16,Системний адміністратор,село Павлоград,"набережна Дачний 2-й, буд. 72 кв. 21, Чигирин, 83114",+380 50 234-65-17,semen57@example.com
Затула,Андрій,Павлович,male,1980-05-21,Бухгалтер,місто Березань ,"шосе 10-та Суворовська, буд. 3 кв. 719, Боярка, 94474",042 126 59 78,albertbezborodky@example.com
Теличенко,Ігор,Євгенович,male,1953-03-28,Аудитор,місто Семенівка,"набережна Новгородська, буд. 548, Косів, 19114",009 321 43 46,olehbandera@example.org
Саєнко,Герман,Олександрович,male,2008-02-15,Аналітик даних,село Мостиська,"провулок Хімічний 1-й, буд. 33 кв. 010, Маріуполь, 20223",062 299 22 87,komarhryhorii@example.com
Даньків,Ярослава,Остапівна,female,1976-08-07,Асистент керівника,хутір Ясинувата,"вулиця Тупиковий 2-й, буд. 243 кв. 07, Вижниця, 06502",028 757 65 12,haidamakaboleslav@example.net
Литвиненко,Артем,Олександрович,male,1979-01-21,Тестувальник,селище Знам'янка,"шосе М’ясоєдовська, буд. 5, Нікополь, 50237",892 81 25,mazurarsen@example.com
Шевченко,Петро,Геннадійович,male,1954-03-11,Фінансовий аналітик,селище Пологи ,"площа Варненська, буд. 49, Глобине, 25611",043 950-06-08,baklanpriska@example.net
Пелех,Владислав,Григорійович,male,1964-09-20,Системний адміністратор,село Сорокине,"набережна Аеродромний 1-й, буд. 7, Кривий Ріг, 95021",078 345 02 82,irenailienko@example.org
Самойленко,Соломон,Геннадійович,male,1938-03-02,Фінансовий аналітик,село Немирів,"парк Побратимів, буд. 294 кв. 236, Коростишів, 31350",+380 61 310-96-52,batihpriska@example.org
Юрченко,Гордій,Петрович,male,1992-09-22,Бухгалтер,місто Рожище,"вулиця Наявний 2-й, буд. 4, Середина-Буда, 34655",+380 48 240-16-12,ckhudobiak@example.net
Хомик,Дмитро,Олексійович,male,1941-07-12,Інженер з якості,місто Червоносів,"шосе Центральний аеропорт, буд. 2 кв. 73, Очаків, 11482",+380 (79) 149-66-67,orest78@example.org
Гайденко,Микита,Федорович,male,1955-06-02,HR-менеджер,місто Стебник,"вулиця Новгородський 2-й, буд. 67 кв. 8, Дубровиця, 08682",319 03 03,khudiaknadiia@example.org
Данчук,Мілена,Олександрівна,female,1992-07-10,HR-менеджер,селище Таврійськ,"узвіз 14-та Суворовська, буд. 6, Чугуїв, 54894",559-59-31,kovpakvalerii@example.com
Лавренко,Аврелій,Борисович,male,1955-02-11,Копірайтер,хутір Долина ,"площа Рульовий, буд. 120 кв. 736, Вижниця, 21091",740 62 79,tetianatkachenko@example.net
Сомко,Франц,Сергійович,male,1967-01-28,PR-менеджер,селище Кадіївка,"шосе Безіменний, буд. 29 кв. 7, Золотоноша, 31965",+380 (88) 172-51-54,iryna03@example.com
Андрійчук,Євген,Володимирович,male,1984-09-23,Менеджер з продажу,селище Броди,"набережна Госпітальний, буд. 80 кв. 839, Вуглегірськ, 90610",+380 66 844 41 33,yshapoval@example.com
Девдюк,Прохір,Сергійович,male,1949-08-04,Аналітик даних,селище Мирноград,"шосе Астрономічна, буд. 6, Новий Калинів, 77200",+380 03 916-79-02,rliashko@example.com
Пилипенко,Галина,Костянтинівна,female,1957-08-13,Бухгалтер,село Калуш,"узвіз Академіка Векслера, буд. 219 кв. 14, Ватутіне, 89007",+380 24 836-15-19,iarema99@example.com
Юрченко,Лілія,Євгенівна,female,1987-10-12,Фінансовий аналітик,хутір Бахмут,"парк Самарська, буд. 2, Зугрес, 29952",958-00-65,qkorsun@example.net
Савенко,Мирослав,Юрійович,male,1990-06-24,Кадровий менеджер,хутір Перевальськ,"вулиця Ольгіївська, буд. 47, Красилів, 08719",+380 74 313-81-64,andrii00@example.org
Вишиваний,Омелян,Геннадійович,male,1991-01-06,Інженер з якості,хутір Сколе,"шосе Митракова, буд. 022, Нововолинськ, 31805",080 100-75-84,sviatoslavsliusar@example.com
Зінченко,Станіслав,Андрійович,male,1967-06-08,Менеджер з маркетингу,місто Білицьке,"набережна Макаренка, буд. 9 кв. 3, Сколе, 25609",+380 (70) 739-94-33,qdziuba@example.net
Канівець,Вадим,Григорійович,male,1964-04-06,Менеджер з продукту,хутір Коростень,"проспект Приморська, буд. 1, Кальміуське, 52288",089 594-49-07,shcherbaksofiia@example.com
Івасюк,Пантелеймон,Остапович,male,1941-10-24,Кадровий менеджер,село Нововолинськ,"узвіз Думська, буд. 804 кв. 3, Кременчук, 74000",078 017-09-26,tereza83@example.net
Кибкало,Арсен,Васильович,male,1978-07-20,Програміст,хутір Переяслав,"парк Дідріхсона, буд. 95 кв. 1, Оріхів, 64169",+380 75 273 23 39,irena20@example.org
Ватаманюк,Віталій,Андрійович,male,2001-09-24,Копірайтер,місто Борщів,"узвіз 3-тя Суворовська, буд. 56, Боково-Хрустальне, 84467",+380 84 341-37-29,korsunfeofan@example.org
Андрійчук,Марія,Максимівна,female,1990-06-17,Програміст,село Перемишляни,"площа Рульовий, буд. 05 кв. 18, Дунаївці, 06798",+380 (66) 158-86-79,iosypkylymnyk@example.com
Сиротенко,Марина,Леонідівна,female,1994-07-07,Асистент керівника,місто Вільногірськ,"вулиця Ямська, буд. 81 кв. 8, Новогродівка, 81694",+380 54 906-47-73,miroshnychenkoherman@example.com
Вдовенко,Ігнат,Костянтинович,male,1981-02-27,Дизайнер,місто Сорокине,"площа Асєєва Юрія, буд. 6, Заліщики, 02328",+380 73 306 54 15,teibozhenko@example.com
Остапчук,Петро,Денисович,male,2002-05-17,Інженер з якості,селище Новомиргород,"узвіз Дача Ковалевського, буд. 1 кв. 6, Іллінці, 21672",073-28-73,mykhailo49@example.net
Гуцуляк,Богодар,Ігорович,male,1970-07-09,Аудитор,село Жашків,"набережна Лінія 55-та, буд. 2, Родинське, 15197",+380 27 711 15 52,dereviankoarkadii@example.net
Штокало,Єва,Ярославівна,female,1984-05-27,Фінансовий аналітик,селище Дубляни,"вулиця Хімічний 3-й, буд. 9, Рожище, 74782",085 608-05-24,azar83@example.com
Іщенко,Єлисей,Тарасович,male,1950-07-26,Асистент керівника,хутір Зугрес,"площа 11-та ст. Великого Фонтану пляж, буд. 4, Дружба , 62997",028 984-31-22,shchyrytsialiliia@example.org
Гаєвський,Алла,Кирилівна,female,1947-07-15,Офіс-менеджер,селище Баштанка,"провулок Леваневського, буд. 68, Вишгород, 79874",+380 96 472-13-12,tarasenkokyrylo@example.com
Остапчук,Галина,Федорівна,female,1959-11-04,Фінансовий аналітик,місто Самбір,"сквер Польова, буд. 87, Ковель, 39255",193 90 03,khomarebryk@example.org
Ільєнко,Назар,Федорович,male,1944-09-04,Аудитор,хутір Ладижин,"парк Олександра Вронського, буд. 7, Київ, 51170",+380 48 879 09 80,fzasenko@example.net
Артюх,Віталій,Назарович,male,1970-11-08,Тестувальник,хутір Синельникове,"шосе Ланжерон, буд. 4 кв. 518, Новоукраїнка, 88668",490-69-90,solomonbevzenko@example.com
Яценко,Пармен,Григорійович,male,1990-11-10,Менеджер з маркетингу,селище Обухів,"набережна Шишкіна 1-й, буд. 57, Перевальськ, 17245",867 39 33,bdubyna@example.net
Чуприна,Костянтин,Костянтинович,male,1956-08-13,Аудитор,селище Новомосковськ,"набережна Естонський, буд. 3 кв. 52, Чортків, 36822",775 44 33,panchukmykhailyna@example.com
Дараган,Онисим,Олександрович,male,1982-01-09,Кадровий менеджер,місто Славутич,"набережна Шота Руставелі, буд. 4 кв. 738, Долина , 56062",605-11-26,oryna97@example.com
Бандурка,Захар,Юрійович,male,2000-05-09,Аналітик даних,хутір Кривий Ріг,"набережна Гагаріна, буд. 167 кв. 737, Рені, 18218",069 522-98-40,vitaliidankiv@example.org
Байдак,Пармен,Костянтинович,male,1949-06-30,Фінансовий аналітик,хутір Кілія,"провулок Павлова, буд. 080 кв. 477, Мукачево, 70414",+380 (76) 054-76-91,deriazhnyiokhrim@example.org
Охріменко,Венедикт,Тарасович,male,1991-12-19,Фінансовий аналітик,село Полтава,"площа Сонячна, буд. 6 кв. 973, Дунаївці, 88686",+380 09 776-72-53,sofiia40@example.com
Базилевський,Петро,Петрович,male,1950-07-08,Менеджер з продажу,хутір Мала Виска,"сквер Балтський 2-й, буд. 552 кв. 03, Краматорськ, 49388",464-49-35,yshakhrai@example.net
Демʼянчук,Йосип,Давидович,male,1977-06-24,Менеджер з закупівель,село Мена ,"вулиця Вапняне селище, буд. 967, Миронівка, 81536",074 309 84 21,okhrim48@example.com
Бараник,Вʼячеслав,Данилович,male,1978-09-05,Інженер з якості,хутір Золоте,"парк Лиманна, буд. 15 кв. 3, Кальміуське, 36055",+380 88 083 76 82,shchyrytsiaviktor@example.org
Бгиденко,Леопольд,Остапович,male,1953-02-15,Аудитор,селище Рубіжне,"сквер Юннатів 3-й, буд. 62 кв. 945, Ровеньки, 93364",+380 06 850-92-46,jchalyi@example.net
Гаврилець,Сніжана,Давидівна,female,1990-05-25,Менеджер з маркетингу,місто Радивилів,"узвіз Градоначальницька, буд. 40 кв. 6, Гребінка, 85517",+380 72 679-16-90,gzaichenko@example.net
Дзюба,Соломон,Тарасович,male,1938-01-03,Менеджер з закупівель,село Лисичанськ,"вулиця Перепечка, буд. 72 кв. 44, Вільногірськ, 96739",089 589 30 56,bohdanbabiak@example.org
Доценко,Надія,Костянтинівна,female,1943-08-14,Кадровий менеджер,хутір Городок,"проспект Краснослобідська, буд. 63 кв. 140, Львів, 50627",093 061 94 91,ychumachenko@example.org
Самойленко,Борис,Сергійович,male,1988-10-07,Менеджер з маркетингу,місто Берислав,"набережна Літня, буд. 4 кв. 85, Дружба , 14435",+380 86 125-79-77,snizhana05@example.org
Вергун,Камілла,Євгенівна,female,1981-08-25,Менеджер з закупівель,селище Хмельницький,"узвіз Балтський 5-й, буд. 7, Славута, 61662",164 85 71,qbakumenko@example.org
Давиденко,Пантелеймон,Максимович,male,1996-01-21,Інженер з якості,місто Рожище,"сквер Виїзна, буд. 6 кв. 0, Армянськ, 72914",526 85 32,iaroslav32@example.org
Удовиченко,Андрій,Зеновійович,male,1985-01-26,Офіс-менеджер,хутір Ананьїв,"проспект Лінія 24-та, буд. 61, Коростень, 05541",571 10 94,bbezborodko@example.com
Зайченко,Августин,Володимирович,male,1996-10-04,Інженер з якості,хутір Молочанськ,"шосе 11-та Суворовська, буд. 326, Оріхів, 40181",+380 02 832-85-99,dzhunkostiantyn@example.com
Шаповал,Зиновій,Костянтинович,male,1939-09-10,Інженер з якості,селище Мар'їнка,"узвіз Бокаріуса Миколи, буд. 697, Біляївка, 14489",+380 (17) 768-61-19,vderkach@example.net
Артимишин,Мілена,Тарасівна,female,1998-11-13,Менеджер з закупівель,місто Гадяч,"сквер Садова 4-та, буд. 29, Сулимівка (Слов'янськ), 08606",022 525 40 55,jlesyk@example.org
Прокопович,Данило,Марківич,male,1987-11-10,Менеджер з закупівель,село Калуш,"провулок Нова, буд. 6 кв. 81, Олександрівськ, 66349",393 95 60,arkadii81@example.com
Ґоляш,Тимофій,Михайлович,male,1984-11-16,Аудитор,селище Богодухів,"площа Молокова, буд. 726 кв. 257, Надвірна, 98564",086 188 44 67,ichupryna@example.com
Дутка,Ярема,Костянтинович,male,1950-03-30,Тестувальник,селище Косів,"парк Середня, буд. 0 кв. 796, Тетіїв, 29696",407-32-25,stepan81@example.com
Дубас,Емілія,Денисівна,female,2001-07-04,Системний адміністратор,місто Мена ,"проспект Польова, буд. 0 кв. 68, Нетішин, 84633",+380 72 850-62-85,czakusylo@example.com
Атаманчук,Леопольд,Денисович,male,1970-08-21,Менеджер з продукту,село Рені,"вулиця Астрономічна, буд. 94 кв. 1, Кременець, 61241",+380 (38) 150-98-08,lsamoilenko@example.org
Жадан,Єлисей,Сергійович,male,1959-03-10,Асистент керівника,селище Хотин,"шосе Академіка Ясиновського, буд. 38 кв. 493, Перечин, 30004",+380 (09) 419-25-19,ksimashkevych@example.org
Данькевич,Мілена,Геннадіївна,female,1983-01-12,HR-менеджер,хутір Винники,"набережна Садова 2-га, буд. 38, Могилів-Подільський, 72442",+380 (20) 551-83-56,orysiabarabash@example.org
Кальченко,Ярослав,Євгенович,male,1999-06-04,Архітектор,село Калинівка ,"проспект Станційна 1-ша, буд. 2 кв. 445, Рівне, 39698",072 193-99-07,pustovitviktoriia@example.net
Іщенко,Феофан,Костянтинович,male,1951-04-23,Програміст,селище Лутугине,"шосе Тетяни Тесс, буд. 67, Славутич, 37517",+380 84 188-09-41,protsenkovalerii@example.org
Ємець,Арсен,Романович,male,1955-07-18,Менеджер з продукту,село Чоп,"вулиця Польова, буд. 8, Глухів, 59480",191-84-57,bohdannazabashta@example.com
Охріменко,Борис,Вікторович,male,1942-05-18,Менеджер з маркетингу,хутір Зборів,"площа Овідіопольська дорога, буд. 096 кв. 5, Молочанськ, 50301",072 485 12 10,anastasiiaperebyinis@example.com
Андрійчук,Єва,Олексіївна,female,1957-09-27,Системний адміністратор,селище Енергодар,"шосе Ф. Пішеніна, буд. 07 кв. 8, Шпола, 78796",349-97-40,zakhar08@example.net
Литвиненко,Юстим,Назарович,male,1999-10-02,Офіс-менеджер,село Андрушівка,"провулок Недєліна, буд. 07 кв. 2, Олешки, 93345",328 99 90,solomiiaiukhymenko@example.org
Рябошапка,Валентин,Станіславович,male,2001-06-29,Менеджер з продукту,селище Білопілля,"парк Далекосхідна, буд. 6, Знам'янка, 75844",064 563 81 33,makarenkoalla@example.org
Тихий,Федір,Федорович,male,1962-12-04,Програміст,селище Шпола,"вулиця 4-та Суворовська, буд. 147, Новомосковськ, 30122",067 049 04 69,adam86@example.org
Чубай,Пріска,Ігорівна,female,2001-12-05,Бухгалтер,селище Новомиргород,"площа Світлий, буд. 10 кв. 260, Монастирище, 59772",335 54 92,romanetskhrystyna@example.org
Гайдай,Гліб,Станіславович,male,1941-10-18,Системний адміністратор,село Генічеськ,"узвіз Соляний 5-й, буд. 56 кв. 453, Боково-Хрустальне, 99927",+380 54 268 20 63,leontii13@example.org
Гайдай,Ярина,Романівна,female,1967-09-02,Копірайтер,селище Чернігів,"парк Довженка, буд. 98, Берестечко, 85409",504-18-20,ostap84@example.com
Палій,Іван,Ярославович,male,2007-07-23,Копірайтер,селище Балта,"набережна Водопровідний 1-й, буд. 410 кв. 239, Бучач, 05427",050 840-88-70,malyshkoartem@example.net
Акименко,Демʼян,Юрійович,male,1955-01-07,Програміст,хутір Міусинськ,"узвіз Слави, буд. 989, П'ятихатки, 48840",252-89-99,korsunoleksa@example.net
Нестеренко,Назар,Вікторович,male,1979-08-25,Копірайтер,село Сулимівка (Слов'янськ),"набережна Литовська, буд. 8 кв. 331, Миколаїв, 99224",+380 11 627 30 31,viktoriiaduplii@example.net
Цимбал,Венедикт,Леонідович,male,1983-08-16,Системний адміністратор,хутір Подільськ,"парк Дніпровська, буд. 239, Свалява, 78645",+380 43 134-29-41,diermolenko@example.com
Щербань,Любов,Костянтинівна,female,1978-02-05,Асистент керівника,місто Курахове,"проспект Маршала Бабаджаняна, буд. 14, Сміла, 20763",644 93 08,stepan39@example.com
Коваленко,Розалія,Тарасівна,female,1983-03-28,Аудитор,селище Коростишів,"шосе Лінія 41-ша, буд. 186, Монастирище, 08317",+380 38 324-37-08,oryna56@example.com
Стус,Володимир,Вікторович,male,1946-06-10,Кадровий менеджер,хутір Попасна,"набережна 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 65 кв. 2, Новогродівка, 77735",+380 55 989-30-55,arkadiiolifirenko@example.com
Заїка,Маруся,Володимирівна,female,1989-01-29,Програміст,хутір Інкерман,"набережна Тираспольське, буд. 5 кв. 2, Бережани, 89470",+380 96 448-07-38,albertshapoval@example.net
Щорс,Надія,Геннадіївна,female,1956-08-02,Офіс-менеджер,хутір Географія Вільнянська,"площа Зелена гірка, буд. 0 кв. 89, Іллінці, 36054",094-09-96,ushutko@example.com
Хмара,Миколай,Денисович,male,1975-01-01,Менеджер з маркетингу,місто Овруч,"шосе Дунаєвського 1-й, буд. 1 кв. 5, Білицьке, 39339",465-05-29,pylypenkooles@example.net
Власенко,Пилип,Борисович,male,1944-02-18,Менеджер з маркетингу,село Ржищів,"узвіз Східний 2-й, буд. 20, Авдіївка, 98090",+380 (05) 095-03-26,avhustynsalii@example.org
Артюшенко,Семен,Андрійович,male,1944-12-02,Офіс-менеджер,село Кремінна,"узвіз Аеродромна, буд. 49, Берестечко, 61507",+380 68 526-47-26,panteleimonadamenko@example.net
Товстуха,Мартин,Костянтинович,male,1943-04-05,Менеджер з маркетингу,хутір Долинська,"провулок Щоглова, буд. 592 кв. 136, Львів, 04206",094 021 86 04,uzaiets@example.net
Ніколюк,Едита,Захарівна,female,1938-10-29,PR-менеджер,хутір Чорноморськ,"шосе Миколи Гефта, буд. 53, Городенка, 90697",+380 46 385 50 21,terezashvedchenko@example.com
Назаренко,Ада,Тимофіївна,female,1959-01-15,Аналітик даних,село Перевальськ,"набережна Молокова, буд. 6 кв. 020, Благовіщенське, 50302",+380 (51) 419-48-59,qvlasiuk@example.com
Башполченко,Орест,Зеновійович,male,2000-05-11,Тестувальник,село Копичинці,"шосе Ліверпульський, буд. 0 кв. 08, Васильків, 43774",+380 35 033-47-46,solomon91@example.com
Гавриш,Венедикт,Михайлович,male,1946-04-01,Кадровий менеджер,селище Добропілля,"проспект Промисловий, буд. 920 кв. 253, Ічня, 60400",252-37-83,kabanenkosviatoslava@example.com
Гузенко,Аліна,Максимівна,female,1993-12-02,Менеджер з маркетингу,хутір Рудки,"площа Левкоєва, буд. 236, Дрогобич, 82908",+380 71 988 27 55,vlazarenko@example.net
Щириця,Мирослав,Андрійович,male,1965-01-31,Аналітик даних,місто Іршава,"сквер Тещин міст, буд. 07 кв. 856, Свалява, 07439",+380 24 775 25 34,pavlenkosviatoslav@example.com
Власюк,Назар,Мар'янович,male,1945-02-25,PR-менеджер,село Турка,"проспект Соціальна, буд. 4, Кам'янець-Подільський, 66027",769-84-30,nfartushniak@example.org
Худобʼяк,Хома,Ярославович,male,1954-03-13,Менеджер з маркетингу,село Ромни,"провулок Яблочкіної, буд. 35, Білопілля, 41390",092 707-74-52,dbatih@example.com
Масляк,Леон,Олексійович,male,1947-07-07,Асистент керівника,селище Самбір,"провулок Садова 1-ша, буд. 5, Перемишляни, 13675",070 606-06-64,chuikomilena@example.com
Ажажа,Юхим,Геннадійович,male,2004-03-22,Менеджер з закупівель,селище Ізюм,"провулок Басейний 4-й, буд. 56, Старий Крим, 01477",+380 (64) 822-76-98,liudmyla35@example.org
Чалий,Олесь,Володимирович,male,1977-04-09,Аудитор,місто Кіцмань,"проспект Балтський 6-й, буд. 2 кв. 6, Андрушівка, 57257",+380 40 973-51-94,atsarenko@example.com
Височан,Ірина,Зеновіївна,female,1967-12-15,Менеджер з маркетингу,хутір Люботин,"шосе Дніпровська, буд. 65, Олександрівськ, 07095",067 336-48-98,ksachenko@example.net
Іванченко,Ада,Ігорівна,female,1955-11-15,Системний адміністратор,місто Корець,"площа Смоленська, буд. 941 кв. 03, Гірське, 14373",+380 03 835-15-12,amaliiakhomyk@example.net
Зарудний,Орест,Данилович,male,1966-04-25,Копірайтер,місто Горохів,"вулиця 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 92, Костопіль, 48552",+380 78 990-86-32,fizhak@example.net
Ейбоженко,Орхип,Станіславович,male,1953-12-04,Фінансовий аналітик,місто Почаїв,"сквер Радіо, буд. 572 кв. 6, Лисичанськ, 63348",562-35-15,wonufriienko@example.net
Акименко,Ада,Павлівна,female,1976-08-23,HR-менеджер,селище Городенка,"проспект Бузковий 1-й, буд. 178, Білицьке, 32681",+380 51 189-80-33,iustymdanyliuk@example.org
Матяш,Віталій,Олегович,male,1982-09-05,Менеджер з продукту,селище Новоселиця,"проспект Велика Арнаутська, буд. 380 кв. 59, Хрустальний, 56634",012 442-60-41,xabrahamovskyi@example.com
Гайдамака,Руслан,Вікторович,male,2008-01-30,Інженер з якості,селище Запоріжжя,"вулиця Матроська Слобідка, буд. 07, Краматорськ, 49159",+380 64 357 41 72,boryslavbandurka@example.net
Ющенко,Леонтій,Остапович,male,1982-02-03,HR-менеджер,хутір Борзна,"узвіз Єфімова, буд. 828, Татарбунари, 82983",+380 89 557-93-94,volodymyra60@example.org
Онищенко,Федір,Геннадійович,male,1979-01-24,Програміст,місто Кремінна,"узвіз Джутовий, буд. 379, Очаків, 33015",+380 14 858 65 06,baklanhlib@example.org
Аронець,Данна,Григоріївна,female,1970-03-13,Кадровий менеджер,селище Бердянськ,"шосе Васнецова, буд. 983, Нікополь, 59163",735-82-01,mykhailyna22@example.net
Ґалаґан,Климент,Іванович,male,1997-04-30,Аналітик даних,місто Кальміуське,"набережна Неплія, буд. 377, Рені, 19855",911 33 10,priska03@example.org
Гайда,Марія,Марківна,female,1968-11-30,Фінансовий аналітик,місто Тульчин,"сквер Новоберегова, буд. 0, Мерефа, 23652",+380 42 419-12-03,gzhytskyinadiia@example.com
Чередник,Святослава,Станіславівна,female,1999-08-12,Менеджер з продажу,місто Попасна,"узвіз Аеропортівський 4-й, буд. 21, Глобине, 83622",+380 03 352-54-81,fgoliash@example.net
Ісаєвич,Орхип,Назарович,male,2001-07-10,Асистент керівника,селище Павлоград,"проспект Метрополітенівський, буд. 5, Шепетівка, 94310",459 87 35,valentynamykhaliuk@example.net
Сагаль,Прохір,Олексійович,male,1968-08-08,Менеджер з маркетингу,хутір Тульчин,"сквер Гранатний, буд. 1 кв. 898, Генічеськ, 82745",073 683 54 81,leopoldabramenko@example.net
Давимука,Клавдія,Василівна,female,1944-09-14,Менеджер з продажу,село Мар'їнка,"провулок Докова, буд. 72 кв. 439, Голубівка, 78177",+380 (91) 799-80-25,ppushkar@example.com
Жайворон,Алевтин,Мар'янович,male,1990-04-01,Бухгалтер,хутір Славута,"сквер Маршрутна, буд. 52, Івано-Франківськ, 85886",+380 90 478-24-72,zakhar32@example.com
Стельмах,Галина,Андріївна,female,1947-05-04,Копірайтер,село Горохів,"парк Керченський 2-й, буд. 55, Ужгород, 13873",001 212 61 42,khrystyna95@example.org
Дробаха,Ірена,Сергіївна,female,1954-11-17,Офіс-менеджер,селище Барвінкове,"сквер Книжковий, буд. 499 кв. 018, Енергодар, 69860",018-22-99,iermolenkosymon@example.net
Притула,Веніямин,Давидович,male,1964-07-30,Менеджер з продажу,селище Прип'ять ,"провулок Вірського, буд. 29 кв. 0, Міусинськ, 14047",+380 57 852-34-84,uzhalilo@example.com
Левченко,Мирослав,Остапович,male,1993-11-14,Аудитор,місто Буринь,"набережна Успенський, буд. 8, Новоукраїнка, 44309",+380 (45) 875-06-40,aaronasaula@example.org
Євтушок,Устим,Григорійович,male,1959-01-02,Асистент керівника,місто Новий Буг,"проспект Олександра Невського 2-й, буд. 545, Миронівка, 30664",968 69 47,kyrylobaidak@example.com
Абраменко,Світлана,Юріївна,female,1959-03-18,Бухгалтер,хутір Долина ,"провулок Юхима Геллера, буд. 55, Бобровиця, 90258",+380 70 806-21-78,sofiiakhomenko@example.net
Хомик,Борислав,Кирилович,male,2003-03-16,Тестувальник,хутір Сімферополь,"сквер Шкільний, буд. 9 кв. 38, Стебник, 36197",471 27 04,emiliia75@example.org
Кармалюк,Роксолана,Федорівна,female,1957-07-30,Менеджер з маркетингу,селище Луганськ,"набережна Зелений, буд. 25, Почаїв, 15935",+380 (76) 350-11-96,viktorsmyk@example.net
Ґерус,Єлисавета,Олегівна,female,1998-03-05,Аудитор,місто Зугрес,"набережна Соляний 3-й, буд. 58, Підгородне, 70641",+380 10 084-78-26,wduplii@example.org
Талан,Алла,Ігорівна,female,1966-06-02,HR-менеджер,хутір Приморськ (Україна),"площа Лиманна, буд. 501, Тальне, 23095",+380 (14) 729-46-27,lverkhovynets@example.com
Яременко,Валерій,Костянтинович,male,1987-03-30,Асистент керівника,хутір Верхньодніпровськ,"парк Солонцюватий, буд. 55, Жданівка, 85316",065 961-66-03,iryna60@example.com
Вітрук,Світлана,Михайлівна,female,1994-04-08,HR-менеджер,селище Полонне,"провулок Академіка Гаркавого, буд. 68 кв. 150, Красноград, 35595",+380 85 460 45 71,priska22@example.net
Ярош,Кирило,Борисович,male,1939-04-12,HR-менеджер,село Ланівці,"проспект Чапаєва, буд. 83 кв. 0, Судова Вишня, 76977",+380 28 814-49-92,okhrimenkoihnat@example.com
Адамчук,Соломон,Леонідович,male,1996-11-30,Менеджер з закупівель,місто Волноваха,"вулиця Шовкуненка, буд. 738 кв. 073, Феодосія, 50783",394-55-71,jbezborodky@example.net
Харченко,Ольга,Мар'янівна,female,1967-08-10,Аналітик даних,село Кіцмань,"вулиця Лінія 37-ма, буд. 9 кв. 9, Броди, 87889",+380 (60) 864-15-07,iukhymenkoamvrosii@example.org
Аронець,Соломія,Леонідівна,female,1966-05-07,Системний адміністратор,село Самбір,"площа Бехтерєва, буд. 575 кв. 7, Сіверськ, 70758",168-12-42,ababiak@example.com
Приймак,Ігнат,Олександрович,male,1979-01-18,Тестувальник,селище Галич,"шосе Моторний 3-й, буд. 0, Красногорівка, 14488",053 859 55 83,makar81@example.com
Ващук,Тимофій,Федорович,male,1985-12-09,Фінансовий аналітик,село Новодружеськ,"сквер Азовський, буд. 9 кв. 24, Південне , 46639",+380 69 332-64-91,baidakolena@example.net
